-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/2014 through 12/31/2024 in LST
Location: Regional 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
PRECTOTCORR     MERRA-2 Precipitation Corrected (mm/day) 
-END HEADER-
PARAMETER,YEAR,LAT,LON,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
PRECTOTCORR,2014,18.0,-100.0,0.08,0.01,0.0,0.1,4.03,5.97,3.85,6.81,9.0,4.43,0.68,0.56,2.97
PRECTOTCORR,2014,18.0,-100.625,0.15,0.0,0.0,0.04,2.98,4.71,2.6,5.84,7.37,4.01,0.63,0.78,2.44
PRECTOTCORR,2014,18.0,-101.25,0.23,0.0,0.0,0.01,2.81,4.73,1.97,3.77,5.88,4.27,1.03,0.77,2.13
PRECTOTCORR,2014,18.0,-101.875,0.23,0.0,0.0,0.0,3.0,4.53,1.79,3.33,5.71,4.51,1.01,0.73,2.08
PRECTOTCORR,2014,18.0,-102.5,0.2,0.14,0.0,0.02,4.06,6.13,3.1,3.92,6.82,4.71,1.45,0.58,2.6
PRECTOTCORR,2014,18.0,-103.125,0.14,0.14,0.0,0.03,3.35,6.67,3.67,5.17,8.04,4.04,2.94,0.56,2.9
PRECTOTCORR,2014,18.0,-103.75,0.26,0.06,0.0,0.02,3.09,6.92,3.66,5.96,9.6,2.91,5.23,0.48,3.18
PRECTOTCORR,2014,18.0,-104.375,0.43,0.02,0.01,0.01,3.38,7.33,3.58,6.09,11.23,2.0,6.59,0.2,3.4
PRECTOTCORR,2014,18.0,-105.0,0.42,0.04,0.01,0.02,3.29,8.44,3.27,6.26,12.59,2.06,7.25,0.15,3.64
PRECTOTCORR,2014,18.0,-97.5,0.06,0.08,0.4,0.4,3.82,8.85,3.01,3.15,4.68,3.66,0.7,0.46,2.45
PRECTOTCORR,2014,18.0,-98.125,0.04,0.02,0.21,0.35,4.11,9.05,2.96,4.48,5.41,3.82,0.54,0.28,2.61
PRECTOTCORR,2014,18.0,-98.75,0.03,0.02,0.18,0.29,4.21,8.03,3.02,4.93,5.84,3.81,0.63,0.27,2.61
PRECTOTCORR,2014,18.0,-99.375,0.05,0.01,0.08,0.19,4.2,7.08,3.77,6.43,8.22,4.28,0.84,0.35,2.97
PRECTOTCORR,2014,18.5,-100.0,0.13,0.03,0.02,0.19,3.95,6.64,4.24,6.18,8.51,4.13,0.63,0.48,2.94
PRECTOTCORR,2014,18.5,-100.625,0.16,0.01,0.01,0.07,2.68,4.71,2.97,5.3,6.69,3.23,0.41,0.51,2.24
PRECTOTCORR,2014,18.5,-101.25,0.23,0.0,0.0,0.01,2.19,4.23,2.18,3.41,5.1,2.73,0.66,0.46,1.77
PRECTOTCORR,2014,18.5,-101.875,0.22,0.0,0.01,0.01,2.49,4.29,2.1,2.98,4.99,3.02,0.68,0.44,1.78
PRECTOTCORR,2014,18.5,-102.5,0.17,0.0,0.0,0.01,3.3,5.21,2.97,2.85,5.16,2.92,0.84,0.25,1.98
PRECTOTCORR,2014,18.5,-103.125,0.08,0.0,0.0,0.01,2.71,6.45,3.45,4.65,6.48,3.16,2.43,0.31,2.48
